color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,target,aspect_ratio,movie_facebook_likes,Director_ID,actor1_id,actor2_id,actor3_id,genres_number,plot_keywords_number,ID,Adventure,Fantasy,Sci-Fi,Thriller,Documentary,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Game-Show,Reality-TV,News,Short,Film-Noir
1,245,129,0,233,309,139259759,364948,1062,0,2121,46,12,17,150000000,2003,269,6.7,2.4,0,1732,3055,106,560,2,5,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,739,120,750,943,27000,153629485,552503,40025,0,1588,46,12,17,150000000,2015,9000,8.1,2.4,191000,1720,87,100,163,4,5,129,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,465,131,188,641,10000,195000874,232187,21840,0,440,46,11,18,150000000,2015,10000,7.4,2.4,47000,1977,120,115,1807,3,5,136,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,135,85,42,586,20000,64459316,85086,35161,0,122,46,7,16,149000000,2006,14000,6.7,1.9,0,443,306,24,1107,4,5,144,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,264,133,93,746,769,160201106,169914,2538,0,1185,46,7,18,142000000,2002,766,6.1,2.4,0,2354,1883,126,3202,3,5,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,314,150,0,748,23000,65007045,128682,26490,0,657,46,7,18,140000000,2014,893,6.1,2.4,51000,2293,4,134,658,3,5,159,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,163,124,42,848,11000,68642452,77673,13073,3,463,46,7,18,130000000,2005,973,6.0,2.4,0,1674,241,60,59,4,5,169,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,197,128,150,244,766,126930660,157519,2037,2,683,46,7,18,135000000,1999,536,6.4,2.4,2000,2006,126,145,844,3,5,172,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,156,100,750,988,49000,63992328,32399,62644,0,79,46,12,16,135000000,2011,11000,5.9,2.4,0,1720,3054,41,401,4,5,175,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,252,117,14000,358,535,52792307,12572,1950,0,106,46,7,16,140000000,2016,400,6.8,2.4,27000,2226,836,149,180,3,5,178,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,274,142,0,10000,11000,249358727,382255,33284,3,1504,46,7,16,130000000,2004,10000,7.8,2.4,11000,2356,10,118,222,4,5,194,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,245,165,1000,165,309,49551662,102338,921,0,450,46,12,18,130000000,2008,284,6.6,2.4,0,1581,3055,162,4177,4,5,195,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,107,0,159,10000,0,381,11036,1,2,46,7,13,39747870,2011,570,7.5,0.0,40,554,222,165,4179,2,1,198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,258,159,0,645,11000,317557891,444683,13191,4,1571,46,7,16,125000000,2001,687,7.5,2.4,16000,1288,10,166,950,3,5,201,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,107,0,1000,10000,0,252,14719,1,2,46,7,13,39747870,2010,2000,6.4,0.0,25,554,222,167,4180,1,1,204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,289,134,0,346,20000,214948780,405973,20952,4,1055,46,8,18,110000000,2003,505,7.5,2.4,0,2352,306,170,2944,5,5,208,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,267,123,521,265,13000,108521835,40123,13752,0,297,46,7,18,120000000,2016,365,7.1,2.4,31000,2169,282,182,2437,2,5,223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,116,0,141,936,0,20567,1609,1,36,40,2,13,78000000,2008,276,5.1,2.4,291,115,3063,192,4189,4,5,240,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,738,91,0,13,39,274084951,582917,87,0,1885,46,7,18,100000000,2013,23,7.8,2.4,147000,2356,3064,195,4191,4,5,244,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,160,119,55,387,811,125332007,149680,2958,3,328,46,7,18,110000000,1997,766,6.5,2.4,0,2072,336,126,522,3,5,250,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,297,171,0,857,16000,313837577,1238746,22342,2,5060,46,14,18,93000000,2001,5000,8.8,2.4,21000,1713,62,2,267,4,5,268,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,101,84,50,692,979,140015224,94172,3382,0,179,46,3,16,133000000,1999,886,5.9,1.9,0,1599,706,215,425,4,5,274,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,139,22,0,639,5,0,6,5,0,272,47,42,13,39747870,2002,1642,7.2,0.0,0,4,3069,218,218,1,1,277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62,104,23,591,752,6712451,4102,3133,0,89,46,23,17,90000000,2001,631,4.4,1.9,53,2085,3070,219,1929,2,5,279,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,232,174,0,9000,11000,261970615,387616,35672,1,858,46,7,16,100000000,2002,10000,7.4,2.4,0,1288,10,222,160,4,5,283,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,400,144,258,834,6000,167007184,470483,9125,1,2301,46,7,18,150000000,2006,1000,8.0,2.4,0,2203,22,223,439,3,5,284,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,333,101,0,279,925,77222184,87677,1738,0,388,46,3,16,100000000,2009,468,6.8,2.4,11000,2282,510,238,4208,4,5,300,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,166,143,380,452,29000,57366262,400292,33160,0,657,46,3,17,100000000,2006,3000,8.0,2.4,14000,1883,1800,136,906,3,5,304,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,511,172,670,1000,15000,27098580,284825,22686,5,828,46,3,17,102000000,2012,5000,7.5,2.4,124000,1637,405,244,681,2,5,308,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,266,115,521,95,13000,35024475,110364,13761,1,261,46,2,17,100000000,2010,537,6.9,2.4,0,2169,282,252,4212,4,5,319,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,136,146,611,28,23000,9213,38690,23240,2,130,29,11,17,94000000,2011,196,7.6,2.4,13000,1547,4,255,4214,4,5,324,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1,173,126,0,10000,14000,63540020,343274,39319,2,742,46,2,18,93000000,1997,13000,7.7,2.4,18000,1736,1246,260,118,3,5,329,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,355,119,0,968,40000,23014504,172707,54031,1,462,46,7,18,100000000,2014,11000,6.3,2.4,37000,2098,3034,66,47,5,5,340,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,217,118,0,1000,8000,88761720,141179,14024,0,419,46,7,16,95000000,2010,3000,5.9,2.4,9000,1288,308,129,213,3,5,348,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,227,128,521,249,591,72515360,86152,2100,1,411,22,7,18,80000000,2005,249,6.4,2.4,0,2074,1754,293,4226,3,5,374,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,142,114,12000,307,11000,26871,121259,12499,2,361,46,3,17,92000000,2001,577,7.0,2.4,0,2175,41,296,382,3,5,379,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,136,138,0,123,14000,35168677,49311,15149,1,278,46,7,18,100000000,2002,602,6.7,2.4,0,2388,102,300,4230,4,5,385,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1,47,110,96,554,887,190562,2508,2728,0,24,46,7,16,90000000,2010,886,4.4,2.4,788,1768,882,215,2028,4,5,388,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,228,110,545,5000,14000,20315324,88542,27694,8,254,46,3,18,75000000,2011,8000,5.8,2.4,19000,1933,1246,308,2,3,5,396,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,190,97,6,561,1000,46440491,35446,2707,1,78,46,7,16,100000000,2011,579,7.1,1.9,0,111,681,318,1733,5,5,414,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,432,95,38,20,409,13401683,203458,578,0,588,46,7,17,35000000,2012,107,7.1,2.4,46000,2196,3081,325,4243,2,5,423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,141,88,91,982,4000,120136047,48500,9913,2,124,46,3,18,80000000,2008,3000,5.6,1.9,0,631,29,341,1592,3,5,448,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,63,81,92,8,23,0,979,54,0,3,40,2,13,39747870,2015,21,6.4,2.4,257,401,3085,367,4268,4,5,484,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,101,91,287,695,3000,20950820,24183,5593,4,160,46,3,16,80000000,2003,739,5.7,2.4,665,2129,64,373,3270,6,5,491,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,97,750,231,1000,18318000,24868,2521,0,216,46,12,14,80000000,1998,971,5.8,1.9,964,1720,570,377,4275,5,5,495,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,101,94,0,14,563,15131330,25843,683,0,64,46,2,16,86000000,2006,80,6.0,2.4,941,1736,1410,380,4278,4,5,498,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,113,104,63,7,67,19406406,7630,152,0,42,40,2,14,40000000,2009,63,7.8,2.4,0,2315,3089,381,4279,2,5,499,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,113,102,0,212,1000,1891821,16474,1890,0,301,46,7,18,52000000,2005,307,4.2,2.4,785,2056,270,382,4280,5,5,500,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,272,105,545,74,795,23219748,84508,1099,0,308,46,8,18,80000000,2014,172,5.6,2.4,20000,1933,3090,383,4281,5,5,501,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,3,89,0,20,163,0,230,370,0,1,42,10,16,8000000,2015,94,4.4,0.0,138,2075,3091,384,4282,2,1,502,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,210,124,420,876,22000,92930005,204063,35867,0,764,46,3,17,78000000,2002,12000,7.2,2.4,0,2351,90,130,1249,3,5,507,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,119,108,54,6000,12000,1339152,28276,30230,1,64,46,2,16,81200000,2015,11000,7.8,2.4,31000,1692,61,7,3314,5,5,511,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,165,87,11,745,1000,323505540,24407,4782,0,155,46,6,16,75000000,2016,904,6.8,1.9,36000,1876,213,389,726,3,5,514,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,298,163,14000,412,745,47379090,176936,2529,0,824,46,2,17,70000000,2005,486,7.6,2.4,0,2226,110,410,13,3,5,540,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,67,99,545,533,933,14567883,44248,2542,1,373,46,7,17,75000000,1998,722,6.0,2.4,0,1933,220,417,337,3,5,553,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,262,125,0,210,15000,62647540,143525,15850,0,657,46,3,17,70000000,2005,383,7.1,2.4,0,1259,331,427,3847,3,5,569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,88,109,218,8,21,18947630,11798,55,0,124,46,2,16,59660000,2004,17,7.1,2.4,2000,2135,3093,429,4308,3,5,573,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,228,127,905,271,15000,38345403,212085,16034,8,492,46,7,18,70000000,2007,588,7.7,2.4,15000,2350,3038,449,4316,4,5,604,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,237,113,43,452,12000,28031250,88146,13517,0,814,46,7,17,60000000,2005,585,5.2,2.4,0,1302,142,452,1425,4,5,608,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,189,116,5,748,26000,25093607,105556,49608,2,157,46,7,17,35000000,2011,22000,6.5,2.4,17000,703,3043,456,658,3,5,613,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,159,116,105,246,844,5851188,31124,1899,1,313,46,7,17,70000000,2006,729,4.2,2.4,764,1641,768,463,2511,3,5,621,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,180,141,448,334,614,617840,52496,1829,2,172,46,17,17,70000000,2009,451,7.2,2.4,29000,1872,3099,467,538,4,5,630,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,90,102,4,112,14000,5932060,29285,14625,0,174,46,7,18,35000000,2007,394,5.4,2.4,0,1666,55,476,4323,4,5,641,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,280,159,0,521,10000,55637680,227071,11424,1,1500,46,7,17,65000000,1999,580,7.3,1.7,10000,1882,120,492,1569,3,5,664,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,117,143,0,210,509,38966057,23940,1409,0,157,46,2,17,65000000,1998,317,6.7,2.4,688,2329,621,496,918,2,5,670,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,239,96,545,974,14000,42345531,104831,17913,0,423,46,3,17,65000000,2012,1000,5.4,2.4,32000,1933,1246,497,3041,4,5,671,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,14,60,688,575,1000,0,8739,3537,0,28,46,7,13,39747870,2002,773,8.1,0.0,0,2383,89,502,724,3,5,678,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,60,105,0,506,975,10014234,8560,3580,1,69,46,2,17,65000000,2000,909,5.0,1.9,177,2382,332,503,392,2,5,680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,308,92,72,568,623,19059018,65709,3165,0,194,46,12,18,65000000,2014,593,5.1,2.4,15000,629,3104,504,645,4,5,681,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,127,130,2000,25,268,1987287,25474,450,0,138,46,7,18,50000000,2005,85,6.9,2.4,0,1806,3105,505,4334,2,5,682,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,196,100,38,1000,3000,24407944,71202,7048,0,380,46,8,18,43000000,2005,1000,4.8,2.4,0,2011,1860,75,284,4,5,683,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,361,121,175,221,963,43247140,134625,2131,0,265,46,7,18,55000000,2015,580,7.1,2.4,40000,398,624,506,4335,6,5,686,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1,226,147,670,16,177,2208939,190490,253,0,482,46,3,17,50000000,2006,27,7.5,2.4,26000,1637,3106,507,4336,3,5,687,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,138,94,42,668,12000,19548064,25681,23365,1,77,46,5,16,65000000,2009,9000,6.3,2.4,0,443,3051,100,547,5,5,689,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,68,103,10,7,21,72413,11584,58,3,86,29,11,17,65000000,2015,18,6.1,2.4,0,2042,3107,512,4338,4,5,693,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,178,116,84,563,11000,77086030,65297,14931,0,602,46,2,18,62000000,2000,919,6.6,2.4,0,2142,241,23,837,2,5,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,137,130,258,345,394,106635996,199025,1784,2,416,46,7,18,58000000,1995,387,7.2,2.4,0,2203,3110,522,322,3,5,710,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,118,93,18,903,9000,50818750,31209,13403,0,106,46,7,14,60000000,2008,2000,6.1,2.4,0,1926,160,257,274,5,5,749,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,225,99,24,864,18000,62401264,69484,20276,3,323,46,7,17,60000000,2016,992,5.9,2.4,28000,759,375,536,4359,4,5,755,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,435,100,97,2000,11000,257756197,246698,22128,0,471,46,12,16,60000000,2014,8000,7.8,2.4,64000,1684,66,230,826,6,5,760,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,156,91,2,480,12000,42194060,41259,22668,1,72,46,17,16,70000000,2009,10000,6.1,2.4,0,1004,142,118,2519,5,5,770,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,258,117,258,896,2000,43290977,75201,7053,1,256,46,7,17,80000000,2010,1000,6.6,2.4,0,2203,3123,49,817,4,5,774,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,95,110,0,308,510,33927476,19176,1976,0,165,46,7,17,40000000,1997,344,5.7,2.4,956,2056,3124,556,4364,4,5,775,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,210,117,456,569,21000,31670931,44099,23745,0,143,46,7,18,60000000,2009,939,6.7,2.4,0,1897,9,266,290,3,5,779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1,77,86,25,265,13000,28424210,27517,14918,0,74,46,7,16,39747870,2006,1000,5.0,1.9,470,861,71,531,1975,4,5,782,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,172,130,545,552,722,26616590,120416,2525,0,857,46,7,17,60000000,1997,585,6.7,2.4,10000,1933,417,563,539,3,5,786,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,240,121,0,854,19000,22518325,63363,22833,0,644,46,3,17,50000000,2006,972,5.6,2.4,0,1957,25,565,421,4,5,788,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,123,140,23,579,11000,13082288,35565,12634,1,247,46,7,18,60000000,2006,779,6.6,2.4,2000,444,7,32,630,6,5,789,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1,161,106,34,466,3000,17281832,60232,5329,3,110,46,3,16,60000000,2008,1000,6.1,2.4,0,1892,64,571,4372,3,5,797,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,181,107,192,280,40000,7605668,47320,42683,2,188,46,7,17,60000000,2015,2000,5.5,2.4,12000,1294,3034,572,3845,4,5,799,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,140,156,892,102,26000,4535117,38398,26564,3,368,46,3,18,60000000,2007,368,3.8,2.4,0,1052,3043,573,4373,4,5,800,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,119,3,22,879,0,1212,1026,1,9,46,11,13,68005000,2016,107,6.0,2.4,426,2353,3077,575,4374,3,5,802,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,253,97,545,529,14000,60128566,131447,16098,1,410,46,3,17,60000000,2010,1000,5.9,2.4,19000,1933,1246,497,1462,4,5,816,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,96,131,108,58,23000,25528495,28099,23325,2,220,46,7,17,57000000,2001,243,5.9,2.4,0,1873,4,591,4384,4,5,824,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,125,95,163,650,14000,113006880,66308,16884,0,225,46,8,16,56000000,2005,799,5.5,2.4,0,1981,85,184,2015,5,5,826,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,110,114,52,539,12000,78745923,94407,13905,1,322,46,3,18,55000000,1998,702,6.7,2.4,0,850,3051,159,1456,3,5,846,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,149,122,287,135,22000,41609593,145422,24270,2,572,46,7,17,55000000,1998,2000,7.3,2.4,0,1945,456,616,2182,4,5,860,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,224,95,17,594,838,76137505,49207,3697,0,174,46,7,16,55000000,2014,722,7.2,2.4,30000,966,1537,618,1446,4,5,862,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
